uf;br;municipio;mes;dia_semana;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo;acidente_fatal
SC;282;RANCHO QUEIMADO;10;quarta-feira;Pleno dia;Velocidade Incompatível;Tombamento;Céu Claro;Simples;Reta;Não;false
PE;232;TACAIMBO;10;quarta-feira;Plena Noite;Pedestre andava na pista;Atropelamento de Pedestre;Céu Claro;Simples;Reta;Não;true
RJ;101;ITAGUAI;10;quarta-feira;Plena Noite;Ingestão de álcool pelo condutor;Saída de leito carroçável;Nublado;Dupla;Curva;Não;false
RN;101;GOIANINHA;10;quarta-feira;Plena Noite;Condutor Dormindo;Saída de leito carroçável;Céu Claro;Dupla;Reta;Não;false
SP;116;SAO JOSE DOS CAMPOS;10;quarta-feira;Plena Noite;Manobra de mudança de faixa;Colisão com objeto;Nublado;Múltipla;"Reta;Aclive";Sim;false
SP;116;GUARULHOS;10;quinta-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão traseira;Vento;Múltipla;Reta;Sim;false
MS;267;NOVA ANDRADINA;10;quarta-feira;Plena Noite;Acesso irregular;Colisão lateral sentido oposto;Céu Claro;Simples;Reta;Não;true
SC;101;BARRA VELHA;10;quinta-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Céu Claro;Simples;Reta;Sim;false
PI;135;BOM JESUS;10;quarta-feira;Plena Noite;Ausência de reação do condutor;Saída de leito carroçável;Céu Claro;Simples;Reta;Não;false
RS;290;CACHOEIRA DO SUL;10;quinta-feira;Plena Noite;Condutor Dormindo;Colisão frontal;Nublado;Simples;Reta;Não;false
MG;40;FELIXLANDIA;10;quarta-feira;Plena Noite;Condutor Dormindo;Saída de leito carroçável;Céu Claro;Simples;"Interseção de Vias;Reta;Rotatória";Não;false
BA;116;BOA NOVA;10;quinta-feira;Plena Noite;Pedestre andava na pista;Atropelamento de Pedestre;Céu Claro;Simples;Declive;Não;false
RJ;116;SAPUCAIA;10;quinta-feira;Plena Noite;Ausência de reação do condutor;Capotamento;Céu Claro;Simples;Reta;Não;false
ES;101;RIO NOVO DO SUL;10;quinta-feira;Amanhecer;Ausência de reação do condutor;Saída de leito carroçável;Céu Claro;Simples;Reta;Não;false
RS;290;URUGUAIANA;10;quinta-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Nublado;Simples;Reta;Não;false
GO;60;RIO VERDE;10;quarta-feira;Plena Noite;Retorno proibido;Colisão frontal;Céu Claro;Dupla;Reta;Sim;false
MT;364;VARZEA GRANDE;10;quarta-feira;Plena Noite;Animais na Pista;Atropelamento de Animal;Céu Claro;Múltipla;Reta;Sim;false
RN;304;MACAIBA;10;quinta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Sol;Dupla;Reta;Não;false
MS;267;BATAGUASSU;10;quinta-feira;Pleno dia;Animais na Pista;Atropelamento de Animal;Céu Claro;Simples;Reta;Não;false
RJ;116;SAO JOAO DE MERITI;10;quarta-feira;Plena Noite;Condutor deixou de manter distância do veículo da frente;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Não;false
MG;50;UBERABA;10;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Dupla;Viaduto;Sim;false
PE;104;CARUARU;10;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão com objeto;Céu Claro;Múltipla;Ponte;Sim;false
SC;470;RIO DO SUL;10;quinta-feira;Pleno dia;Conversão proibida;Colisão transversal;Sol;Simples;"Reta;Declive";Sim;false
RJ;116;NOVA IGUACU;10;quinta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Tombamento;Céu Claro;Dupla;Reta;Sim;false
BA;110;CIPO;10;quinta-feira;Pleno dia;Manobra de mudança de faixa;Colisão frontal;Céu Claro;Simples;Reta;Sim;false
RO;364;JARU;10;quarta-feira;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Nublado;Simples;"Reta;Interseção de Vias";Não;false
RN;101;PARNAMIRIM;10;quinta-feira;Pleno dia;Manobra de mudança de faixa;Queda de ocupante de veículo;Sol;Múltipla;Viaduto;Sim;false
RS;386;ESTRELA;10;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Chuva;Dupla;Reta;Não;false
MG;262;BETIM;10;quinta-feira;Pleno dia;Objeto estático sobre o leito carroçável;Colisão com objeto;Céu Claro;Dupla;"Aclive;Reta";Não;false
MG;381;BETIM;10;quinta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Dupla;Reta;Sim;false
PR;163;BARRACAO;10;quinta-feira;Amanhecer;Velocidade Incompatível;Tombamento;Céu Claro;Simples;Reta;Não;false
MG;381;CAMPANHA;9;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Chuva;Dupla;Reta;Não;false
RS;290;PORTO ALEGRE;10;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Nublado;Dupla;Reta;Não;false
MA;135;SAO LUIS;10;quarta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Sim;false
MG;381;BETIM;8;quinta-feira;Pleno dia;Ausência de reação do condutor;Tombamento;Céu Claro;Dupla;Reta;Sim;false
ES;101;ANCHIETA;10;quinta-feira;Pleno dia;Velocidade Incompatível;Tombamento;Céu Claro;Simples;Curva;Não;false
SC;101;CAMBORIU;10;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Não;false
PR;116;SAO JOSE DOS PINHAIS;10;quinta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Sim;false
BA;116;SERRINHA;10;quinta-feira;Pleno dia;Ultrapassagem Indevida;Colisão lateral sentido oposto;Céu Claro;Simples;Curva;Não;false
