data_inversa;dia_semana;horario;uf;br;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;condicao_metereologica;tipo_pista;tracado_via;uso_solo;mortos;acidente_fatal
2025-08-28;quinta-feira;14:50:00;BA;116;ENCRUZILHADA;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Fatais;Pleno dia;Sol;Simples;Curva;Não;1;true
2025-08-28;quinta-feira;12:10:00;MG;381;CARMO DA CACHOEIRA;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Sol;Dupla;Reta;Não;0;false
2025-08-28;quinta-feira;10:30:00;MG;251;SANTA CRUZ DE SALINAS;Transitar na contramão;Colisão frontal;Com Vítimas Feridas;Pleno dia;Sol;Simples;Curva;Não;0;false
2025-08-20;quarta-feira;08:40:00;PR;476;ARAUCARIA;Ausência de reação do condutor;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Nublado;Dupla;Reta;Não;0;false
2025-08-28;quinta-feira;14:30:00;MG;381;BETIM;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Sem Vítimas;Pleno dia;Céu Claro;Múltipla;Curva;Não;0;false
2025-08-28;quinta-feira;16:00:00;RS;386;CARAZINHO;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Sol;Dupla;Interseção de Vias;Sim;0;false
2025-08-28;quinta-feira;15:50:00;CE;116;RUSSAS;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Pleno dia;Céu Claro;Simples;Reta;Não;0;false
2025-08-28;quinta-feira;11:30:00;SC;282;SAUDADES;Reação tardia ou ineficiente do condutor;Tombamento;Sem Vítimas;Pleno dia;Sol;Simples;"Declive;Curva";Não;0;false
2025-07-28;segunda-feira;22:49:00;TO;10;PALMAS;Reação tardia ou ineficiente do condutor;Colisão frontal;Com Vítimas Feridas;Plena Noite;Céu Claro;Simples;"Curva;Declive";Não;0;false
2025-08-28;quinta-feira;14:40:00;CE;116;ICO;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Pleno dia;Céu Claro;Simples;Aclive;Não;0;false
2025-08-28;quinta-feira;17:15:00;PI;316;TERESINA;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Pleno dia;Céu Claro;Múltipla;Reta;Sim;0;false
2025-08-28;quinta-feira;18:14:00;BA;324;SALVADOR;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Céu Claro;Dupla;Reta;Sim;0;false
2025-07-15;terça-feira;07:15:00;SC;101;SANGAO;Neblina;Engavetamento;Com Vítimas Feridas;Amanhecer;Nevoeiro/Neblina;Múltipla;Reta;Não;0;false
2025-08-28;quinta-feira;09:58:00;PA;222;RONDON DO PARA;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Fatais;Pleno dia;Sol;Simples;"Aclive;Reta";Não;1;true
2025-08-28;quinta-feira;18:40:00;RJ;356;ITALVA;Velocidade Incompatível;Colisão traseira;Com Vítimas Feridas;Plena Noite;Céu Claro;Simples;Curva;Sim;0;false
