id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop
653039;03/01/2025;sexta-feira;17:50:00;MG;153;219,4;FRUTAL;Transitar na contramão;Colisão frontal;Com Vítimas Fatais;Pleno dia;Crescente;Chuva;Simples;Reta;Não;5;1;1;1;1;1;2;4;-20,09508657;-49,08695698;SPRF-MG;DEL13-MG;UOP02-DEL13-MG
653044;03/01/2025;sexta-feira;23:00:00;MG;381;618,1;OLIVEIRA;Ausência de reação do condutor;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Dupla;Curva;Não;4;0;1;0;2;4;1;7;-20,76895697;-44,78171707;SPRF-MG;DEL04-MG;UOP01-DEL04-MG
653051;04/01/2025;sábado;00:15:00;RJ;356;69;ITAPERUNA;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Garoa/Chuvisco;Simples;Reta;Não;2;0;1;0;1;0;1;2;-21,37533068;-41,69412374;SPRF-RJ;DEL08-RJ;UOP03-DEL08-RJ
653052;03/01/2025;sexta-feira;23:00:00;MG;116;802,8;ALEM PARAIBA;Ingestão de álcool pelo condutor;Colisão lateral sentido oposto;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Simples;Reta;Não;3;0;1;0;1;1;1;3;-21,77810174;-42,72568662;SPRF-MG;DEL07-MG;UOP01-DEL07-MG
653058;04/01/2025;sábado;02:46:00;RJ;116;313;RESENDE;Condutor Dormindo;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Dupla;Reta;Não;1;0;0;1;0;0;1;1;-22,45998766;-44,46237202;SPRF-RJ;DEL07-RJ;UOP02-DEL07-RJ
653060;04/01/2025;sábado;02:50:00;SC;101;157,7;PORTO BELO;Ausência de reação do condutor;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Dupla;Reta;Sim;2;0;1;0;1;0;1;2;-27,181625;-48,6121179;SPRF-SC;DEL04-SC;UOP03-DEL04-SC
653062;03/01/2025;sexta-feira;22:45:00;RS;158;419,5;SAO GABRIEL;Ausência de reação do condutor;Colisão traseira;Com Vítimas Fatais;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;4;1;0;1;1;1;1;3;-30,03993268;-54,5918013;SPRF-RS;DEL11-RS;UOP02-DEL11-RS
653066;04/01/2025;sábado;02:15:00;MG;262;549;LUZ;Ausência de reação do condutor;Colisão lateral sentido oposto;Com Vítimas Fatais;Plena Noite;Decrescente;Chuva;Simples;"Curva;Aclive";Não;33;1;15;0;16;1;15;3;-19,72508993;-45,86948395;SPRF-MG;DEL08-MG;UOP02-DEL08-MG
653069;04/01/2025;sábado;03:15:00;PR;277;54;SAO JOSE DOS PINHAIS;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Não;3;0;1;0;1;1;1;3;-25,58964707;-48,93537801;SPRF-PR;DEL01-PR;UOP05-DEL01-PR
653072;04/01/2025;sábado;03:40:00;RS;285;182,8;CAPAO BONITO DO SUL;Ausência de reação do condutor;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Curva;Não;1;0;0;1;0;0;1;1;-28,290833;-51,422482;SPRF-RS;DEL08-RS;UOP05-DEL08-RS
653078;04/01/2025;sábado;05:40:00;BA;116;908,1;CANDIDO SALES;Condutor Dormindo;Colisão frontal;Sem Vítimas;Amanhecer;Decrescente;Nublado;Simples;Reta;Sim;4;0;0;0;2;3;0;5;-15,50001;-41,23606;SPRF-BA;DEL08-BA;UOP03-DEL08-BA
653093;04/01/2025;sábado;08:30:00;PR;369;422;UBIRATA;Acessar a via sem observar a presença dos outros veículos;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Sol;Simples;Reta;Não;2;0;0;0;2;0;0;2;-24,506686;-52,917714;SPRF-PR;DEL04-PR;UOP03-DEL04-PR
653099;04/01/2025;sábado;07:45:00;MG;365;409;PATOS DE MINAS;Pista Escorregadia;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;Curva;Não;5;0;3;0;2;0;3;2;-18,65228912;-46,51471573;SPRF-MG;DEL10-MG;UOP01-DEL10-MG
653113;04/01/2025;sábado;11:00:00;PR;153;31,2;SANTO ANTONIO DA PLATINA;Reação tardia ou ineficiente do condutor;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;5;0;3;0;2;0;3;2;-23,22262134;-50,02015382;SPRF-PR;DEL07-PR;UOP04-DEL07-PR
653116;04/01/2025;sábado;09:00:00;MG;251;472,9;FRANCISCO SA;Chuva;Colisão lateral sentido oposto;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;"Curva;Declive";Não;11;0;2;0;8;1;2;4;-16,4669101;-43,43947986;SPRF-MG;DEL12-MG;UOP01-DEL12-MG
653117;04/01/2025;sábado;09:00:00;MT;364;275,5;JACIARA;Demais falhas mecânicas ou elétricas;Engavetamento;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Dupla;"Declive;Reta";Não;5;0;3;0;1;1;3;4;-15,95085604;-54,98237599;SPRF-MT;DEL05-MT;UOP02-DEL05-MT
653118;04/01/2025;sábado;11:20:00;SP;116;567;BARRA DO TURVO;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Curva;Não;5;0;1;0;3;1;1;2;-25,0475499;-48,55355172;SPRF-SP;DEL05-SP;UOP02-DEL05-SP
653126;04/01/2025;sábado;07:30:00;BA;116;528;ITATIM;Manobra de mudança de faixa;Colisão lateral sentido oposto;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Simples;Reta;Não;7;0;4;0;2;2;4;4;-12,71587879;-39,7449061;SPRF-BA;DEL03-BA;UOP02-DEL03-BA
653127;04/01/2025;sábado;12:20:00;TO;10;458;PALMAS;Acumulo de água sobre o pavimento;Queda de ocupante de veículo;Com Vítimas Fatais;Pleno dia;Decrescente;Chuva;Dupla;Reta;Não;4;1;0;0;3;0;0;4;-10,28046444;-48,29864502;SPRF-TO;DEL01-TO;UOP03-DEL01-TO
653138;04/01/2025;sábado;12:39:00;BA;116;784;PLANALTO;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;3;0;1;0;1;1;1;3;-14,66603297;-40,46399803;SPRF-BA;DEL08-BA;UOP02-DEL08-BA
653141;04/01/2025;sábado;14:10:00;SP;153;22,9;NOVA GRANADA;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Pleno dia;Crescente;Nublado;Simples;"Reta;Aclive";Não;2;0;0;0;1;1;0;2;-20,46039395;-49,28858211;SPRF-SP;DEL09-SP;UOP01-DEL09-SP
653150;04/01/2025;sábado;15:00:00;RS;386;435;NOVA SANTA RITA;Ausência de reação do condutor;Colisão transversal;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Dupla;"Interseção de Vias;Rotatória";Sim;2;0;0;0;2;0;0;2;-29,846369;-51,275738;SPRF-RS;DEL04-RS;UOP02-DEL04-RS
653157;04/01/2025;sábado;14:50:00;RJ;116;133;MAGE;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Dupla;Reta;Não;5;0;0;1;2;3;1;6;-22,65418284;-43,14382995;SPRF-RJ;DEL04-RJ;UOP02-DEL04-RJ
653169;04/01/2025;sábado;16:35:00;MG;116;310;ITAMBACURI;Transitar no Acostamento;Colisão lateral mesmo sentido;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;4;0;0;0;3;1;0;3;-18,071493;-41,67787;SPRF-MG;DEL11-MG;UOP01-DEL11-MG
653176;04/01/2025;sábado;14:30:00;PB;230;162,7;CAMPINA GRANDE;Condutor deixou de manter distância do veículo da frente;Engavetamento;Sem Vítimas;Pleno dia;Decrescente;Sol;Simples;Reta;Não;3;0;0;0;3;0;0;3;-7,2277;-35,9439;SPRF-PB;DEL02-PB;UOP01-DEL02-PB
653177;04/01/2025;sábado;16:45:00;PB;104;109,9;LAGOA SECA;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Simples;"Reta;Aclive";Não;2;0;0;0;2;0;0;2;-7,11997886;-35,86414665;SPRF-PB;DEL02-PB;UOP04-DEL02-PB
653188;04/01/2025;sábado;18:40:00;BA;116;373,7;LAMARAO;Transitar na contramão;Colisão frontal;Com Vítimas Fatais;Plena Noite;Crescente;Céu Claro;Simples;"Aclive;Reta";Não;7;2;1;2;1;1;3;3;-11,788313;-38,98560509;SPRF-BA;DEL02-BA;UOP01-DEL02-BA
653204;04/01/2025;sábado;19:30:00;MG;262;417,5;PARA DE MINAS;Pedestre - Ingestão de álcool/ substâncias psicoativas;Atropelamento de Pedestre;Com Vítimas Fatais;Plena Noite;Decrescente;Nublado;Dupla;Reta;Sim;2;1;0;0;0;1;0;2;-19,88382214;-44,74534035;SPRF-MG;DEL08-MG;UOP03-DEL08-MG
