id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;feridos;ilesos;ignorados;veiculos;latitude;longitude;regional;delegacia;uop
759306;19/03/2026;quinta-feira;08:05:00;RS;285;293,1;PASSO FUNDO;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Múltipla;Interseção de Vias;Sim;12;0;2;0;2;10;0;2;-28,2367577;-52,37434594;SPRF-RS;DEL08/RS;UOP03-DEL08-RS
759307;19/03/2026;quinta-feira;08:12:00;PE;232;5,5;RECIFE;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;Sim;3;0;1;0;1;2;0;2;-8,06933;-34,94832;SPRF-PE;DEL01/PE;UOP01-DEL01-PE
759308;19/03/2026;quinta-feira;07:15:00;PR;376;244;APUCARANA;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Interseção de Vias;Não;2;0;1;0;1;1;0;2;-23,581437;-51,417836;SPRF-PR;DEL07/PR;UOP03-DEL07-PR
759310;19/03/2026;quinta-feira;08:00:00;GO;60;259,4;INDIARA;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Fatais;Pleno dia;Crescente;Céu Claro;Dupla;"Declive;Reta";Não;2;1;0;0;0;0;0;2;-17,16554804;-50,04766524;SPRF-GO;DEL01/GO;UOP02-DEL01-GO
759311;19/03/2026;quinta-feira;07:50:00;RO;364;517;ARIQUEMES;Reação tardia ou ineficiente do condutor;Colisão frontal;Com Vítimas Feridas;Pleno dia;Decrescente;Garoa/Chuvisco;Dupla;Reta;Sim;2;0;1;0;1;1;0;2;-9,905065;-63,056218;SPRF-RO;DEL03-RO;UOP01-DEL03-RO
759313;19/03/2026;quinta-feira;09:15:00;PE;232;130;CARUARU;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Dupla;"Reta;Viaduto";Não;1;0;0;0;0;1;0;1;-8,300835;-35,9866467;SPRF-PE;DEL02/PE;UOP03-DEL02-PE
759314;19/03/2026;quinta-feira;09:00:00;RS;472;581;URUGUAIANA;Acessar a via sem observar a presença dos outros veículos;Colisão lateral sentido oposto;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Simples;Reta;Sim;2;0;1;0;1;1;0;2;-29,793734;-57,090912;SPRF-RS;DEL13/RS;UOP01-DEL13-RS
759319;19/03/2026;quinta-feira;07:20:00;RO;364;710;PORTO VELHO;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;3;0;0;0;0;3;0;2;-8,78650941;-63,85672331;SPRF-RO;DEL01-RO;UOP01-DEL01-RO
759320;19/03/2026;quinta-feira;09:45:00;SC;101;203;BIGUACU;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Múltipla;Reta;Sim;1;0;1;0;1;0;0;1;-27,491978;-48,656692;SPRF-SC;DEL01/SC;UOP01-DEL01-SC
759322;19/03/2026;quinta-feira;09:20:00;SC;101;161;TIJUCAS;Avarias e/ou desgaste excessivo no pneu;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Dupla;Reta;Não;2;0;2;0;2;0;0;1;-27,21592816;-48,62374289;SPRF-SC;DEL04/SC;UOP03-DEL04-SC
759324;07/02/2026;sábado;13:00:00;RJ;493;19;MAGE;Acumulo de óleo sobre o pavimento;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Simples;Retorno Regulamentado;Sim;2;0;2;0;2;0;0;1;-22,66371436;-43,03371046;SPRF-RJ;DEL04/RJ;UOP02-DEL04-RJ
759325;19/03/2026;quinta-feira;08:50:00;MG;116;601;SAO JOAO DO MANHUACU;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Simples;Reta;Não;1;0;1;0;1;0;0;1;-20,347172;-42,146797;SPRF-MG;DEL06/MG;UOP03-DEL06-MG
759326;19/03/2026;quinta-feira;08:30:00;PR;376;176,3;MARINGA;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;"Reta;Interseção de Vias";Não;4;0;2;0;2;1;0;2;-23,41114041;-51,93634499;SPRF-PR;DEL09/PR;UOP01-DEL09-PR
759327;19/03/2026;quinta-feira;08:25:00;BA;116;3;VITORIA DA CONQUISTA;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Simples;Rotatória;Não;3;0;0;2;2;1;0;2;-14,82511744;-40,8619637;SPRF-BA;DEL08/BA;UOP01-DEL08-BA
759328;19/03/2026;quinta-feira;08:10:00;MG;40;604,6;CONGONHAS;Acumulo de água sobre o pavimento;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Simples;"Curva;Aclive";Não;5;0;4;0;4;1;0;1;-20,45055;-43,84066;SPRF-MG;DEL05/MG;UOP02-DEL05-MG
759330;22/01/2026;quinta-feira;10:30:00;RJ;40;83;PETROPOLIS;Pista Escorregadia;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Crescente;Garoa/Chuvisco;Dupla;Curva;Não;3;0;1;0;1;2;0;2;-22,53097854;-43,2361065;SPRF-RJ;DEL01/RJ;UOP01-DEL01-RJ
759331;19/03/2026;quinta-feira;09:55:00;MG;381;529;BRUMADINHO;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Curva;Não;2;0;2;0;2;0;0;1;-20,16216495;-44,34257389;SPRF-MG;DEL04/MG;UOP03-DEL04-MG
759332;27/02/2026;sexta-feira;11:30:00;PB;230;78;SOBRADO;Acumulo de água sobre o pavimento;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Reta;Sim;2;0;2;0;2;0;0;1;-7,184078;-35,299845;SPRF-PB;DEL01-PB;UOP02-DEL01-PB
759333;19/03/2026;quinta-feira;10:05:00;RN;101;107;PARNAMIRIM;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;4;0;2;0;2;2;0;3;-5,923668;-35,264667;SPRF-RN;DEL01-RN;UOP01-DEL01-RN
759334;19/03/2026;quinta-feira;10:30:00;SC;101;119,7;ITAJAI;Acesso irregular;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;Sim;2;0;1;0;1;1;0;2;-26,90512616;-48,71463847;SPRF-SC;DEL04/SC;UOP04-DEL04-SC
759336;19/03/2026;quinta-feira;12:00:00;SC;282;0;FLORIANOPOLIS;Manobra de mudança de faixa;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Múltipla;"Aclive;Reta";Não;2;0;1;0;1;1;0;2;-27,59837749;-48,57345041;SPRF-SC;DEL01/SC;UOP01-DEL01-SC
759339;19/03/2026;quinta-feira;09:20:00;MG;116;414;GOVERNADOR VALADARES;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Múltipla;Interseção de Vias;Sim;2;0;1;0;1;1;0;2;-18,884652;-41,947477;SPRF-MG;DEL06/MG;UOP01-DEL06-MG
759344;19/03/2026;quinta-feira;11:35:00;SC;116;7,1;MAFRA;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;"Reta;Interseção de Vias";Sim;2;0;2;0;2;0;0;2;-26,1531992;-49,8328198;SPRF-SC;DEL06/SC;UOP01-DEL06-SC
759346;19/03/2026;quinta-feira;12:00:00;RJ;101;508;ANGRA DOS REIS;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;Reta;Não;2;0;0;1;1;1;0;2;-22,9794224;-44,44458246;SPRF-RJ;DEL03/RJ;UOP03-DEL03-RJ
759347;19/03/2026;quinta-feira;12:40:00;PR;277;660,5;MATELANDIA;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Dupla;"Curva;Aclive";Sim;1;0;0;0;0;1;0;1;-25,2473158;-53,9836861;SPRF-PR;DEL05/PR;UOP02-DEL05-PR
759348;19/03/2026;quinta-feira;11:40:00;MT;364;450;VARZEA GRANDE;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;4;0;0;0;0;4;0;2;-15,6038151;-56,2039007;SPRF-MT;DEL01/MT;UOP02-DEL01-MT
759349;12/02/2026;quinta-feira;08:40:00;PB;230;23,8;JOAO PESSOA;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Viaduto;Sim;3;0;1;0;1;0;0;3;-7,16529659;-34,86269731;SPRF-PB;DEL01-PB;UOP01-DEL01-PB
759351;19/03/2026;quinta-feira;12:10:00;MG;116;421;ALPERCATA;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;2;0;1;1;2;0;0;2;-18,945268;-41,950097;SPRF-MG;DEL06/MG;UOP01-DEL06-MG
